import time: self [us] | cumulative | imported package
import time:       504 |        504 |                             pygments.filters
import time:       246 |        246 |                             pygments.regexopt
import time:       732 |       1681 |                           pygments.lexer
import time:       286 |        286 |                           pygments.unistring
import time:       838 |       2803 |                         pygments.lexers.python
import time:       109 |        109 |                           ctags
import time:       396 |        505 |                         pygments.formatters.html
import time:      1810 |      11225 |                       IPython.core.oinspect
import time:       415 |        415 |                         IPython.utils.tokenutil
import time:      1468 |       1883 |                       IPython.core.inputtransformer2
import time:       248 |        248 |                       IPython.utils.ipstruct
import time:       853 |      14473 |                     IPython.core.magic
import time:        91 |         91 |                       runpy
import time:       205 |        205 |                         IPython.external
import time:       103 |        103 |                         cPickle
import time:       364 |        671 |                       IPython.external.pickleshare
import time:       227 |        227 |                       IPython.core.hooks
import time:       222 |        222 |                         IPython.core.autocall
import time:       322 |        322 |                         IPython.core.macro
import time:       470 |        470 |                         IPython.core.splitinput
import time:      2763 |       3776 |                       IPython.core.prefilter
import time:       565 |        565 |                       IPython.core.alias
import time:       361 |        361 |                       IPython.core.builtin_trap
import time:       588 |        588 |                           decorator
import time:       991 |        991 |                               _sqlite3
import time:       330 |       1321 |                             sqlite3.dbapi2
import time:       256 |       1577 |                           sqlite3
import time:      2495 |       4658 |                         IPython.core.history
import time:       464 |       5122 |                       IPython.core.displayhook
import time:       476 |        476 |                       IPython.core.displaypub
import time:       258 |        258 |                       IPython.core.events
import time:       334 |        334 |                       IPython.core.extensions
import time:       189 |        189 |                         IPython.utils.sentinel
import time:      2290 |       2479 |                       IPython.core.formatters
import time:       280 |        280 |                       IPython.core.logger
import time:       316 |        316 |                       IPython.core.payload
import time:       403 |        403 |                           argcomplete.completers
import time:       171 |        171 |                           argcomplete.exceptions
import time:       186 |        186 |                             argcomplete.io
import time:       160 |        160 |                               argcomplete.packages
import time:       274 |        274 |                               argcomplete.packages._shlex
import time:       200 |        633 |                             argcomplete.lexers
import time:       255 |        255 |                             argcomplete.packages._argparse
import time:       483 |       1555 |                           argcomplete.finders
import time:       182 |        182 |                           argcomplete.shell_integration
