import time: self [us] | cumulative | imported package
import time:       240 |        423 |                               IPython.testing.skipdoctest
import time:       631 |       1054 |                             IPython.core.display
import time:       172 |        172 |                               IPython.lib
import time:       518 |        690 |                             IPython.lib.display
import time:       204 |       2161 |                           IPython.display
import time:       183 |        183 |                           IPython.utils.data
import time:       340 |       2683 |                         IPython.core.page
import time:       618 |        618 |                         IPython.lib.pretty
import time:       403 |        403 |                         IPython.utils.openpy
import time:       177 |        177 |                         IPython.utils.dir2
import time:       216 |        216 |                         IPython.utils.wildcard
import time:      1156 |       1156 |                           pygments.lexers._mapping
import time:       385 |        385 |                           pygments.modeline
import time:       336 |       1877 |                         pygments.lexers
import time:       193 |        193 |                             pygments.filter
import time:       497 |        497 |                             pygments.filters
import time:       258 |        258 |                             pygments.regexopt
import time:       705 |       1651 |                           pygments.lexer
import time:       299 |        299 |                           pygments.unistring
import time:       832 |       2780 |                         pygments.lexers.python
import time:       103 |        103 |                           ctags
import time:       382 |        484 |                         pygments.formatters.html
import time:      1762 |      10997 |                       IPython.core.oinspect
import time:       412 |        412 |                         IPython.utils.tokenutil
import time:      1434 |       1845 |                       IPython.core.inputtransformer2
import time:       270 |        270 |                       IPython.utils.ipstruct
import time:       809 |      14172 |                     IPython.core.magic
import time:        93 |         93 |                       runpy
import time:       201 |        201 |                         IPython.external
import time:       103 |        103 |                         cPickle
import time:       353 |        656 |                       IPython.external.pickleshare
import time:       216 |        216 |                       IPython.core.hooks
import time:       217 |        217 |                         IPython.core.autocall
import time:       294 |        294 |                         IPython.core.macro
import time:       472 |        472 |                         IPython.core.splitinput
import time:      2077 |       3059 |                       IPython.core.prefilter
import time:       551 |        551 |                       IPython.core.alias
import time:       369 |        369 |                       IPython.core.builtin_trap
import time:       571 |        571 |                           decorator
import time:       946 |        946 |                               _sqlite3
import time:       344 |       1289 |                             sqlite3.dbapi2
import time:       259 |       1548 |                           sqlite3
import time:      3100 |       5218 |                         IPython.core.history
import time:       441 |       5659 |                       IPython.core.displayhook
import time:       478 |        478 |                       IPython.core.displaypub
import time:       267 |        267 |                       IPython.core.events
import time:       328 |        328 |                       IPython.core.extensions
import time:       192 |        192 |                         IPython.utils.sentinel
import time:      2289 |       2480 |                       IPython.core.formatters
import time:       270 |        270 |                       IPython.core.logger
import time:       318 |        318 |                       IPython.core.payload
import time:       385 |        385 |                           argcomplete.completers
import time:       160 |        160 |                           argcomplete.exceptions
import time:       167 |        167 |                             argcomplete.io
import time:       157 |        157 |                               argcomplete.packages
import time:       260 |        260 |                               argcomplete.packages._shlex
import time:       194 |        610 |                             argcomplete.lexers
import time:       270 |        270 |                             argcomplete.packages._argparse
import time:       496 |       1541 |                           argcomplete.finders
import time:       179 |        179 |                           argcomplete.shell_integration
