import time: self [us] | cumulative | imported package
import time:       373 |       2108 |                               IPython.utils._process_common
import time:       384 |       2492 |                             IPython.utils._process_posix
import time:       268 |       2759 |                           IPython.utils.process
import time:      1463 |       4981 |                         IPython.utils.path
import time:      1250 |       1250 |                           pygments.styles.monokai
import time:       651 |        651 |                           pygments.styles.default
import time:       794 |        794 |                           pygments.styles.pastie
import time:       631 |        631 |                           pygments.styles.gruvbox
import time:     14009 |      17333 |                         IPython.utils.PyColorize
import time:       286 |        286 |                         IPython.utils.terminal
import time:      1737 |       1737 |                         IPython.core.display_trap
import time:      1206 |       1206 |                               pkgutil
import time:      1140 |       1140 |                               sysconfig
import time:       956 |        956 |                               _sysconfigdata__x86_64-linux-gnu
import time:      4925 |       8227 |                             pydoc
import time:      1164 |       1164 |                                 codeop
import time:       457 |       1621 |                               IPython.core.debugger_backport
import time:      1860 |       1860 |                                 cmd
import time:      1343 |       1343 |                                 bdb
import time:       389 |        389 |                                 code
import time:      1701 |       5292 |                               pdb
import time:      1156 |       8068 |                             IPython.core.debugger
import time:       555 |      16848 |                           IPython.core.tbtools
import time:       500 |      17347 |                         IPython.core.doctb
import time:      1760 |     141282 |                       IPython.core.ultratb
import time:       525 |        525 |                         IPython.utils._sysinfo
import time:       692 |       1217 |                       IPython.utils.sysinfo
import time:       378 |     142875 |                     IPython.core.crashhandler
import time:       215 |        215 |                         IPython.utils.importstring
import time:       769 |        984 |                       IPython.paths
import time:       972 |       1956 |                     IPython.core.profiledir
import time:      1987 |     175662 |                   IPython.core.application
import time:      2118 |       2118 |                     IPython.terminal
import time:       515 |        515 |                     IPython.core.compilerop
import time:       369 |        369 |                       IPython.core.error
import time:       241 |        241 |                         IPython.utils.docs
import time:       291 |        532 |                       IPython.utils.decorators
import time:      1023 |       1023 |                       IPython.utils.text
import time:      1458 |       3380 |                     IPython.core.magic_arguments
import time:       762 |        762 |                       getopt
import time:       568 |        568 |                             IPython.core.display_functions
import time:      1954 |       1954 |                                 IPython.testing
import time:      1836 |       3789 |                               IPython.testing.skipdoctest
import time:      1108 |       4896 |                             IPython.core.display
import time:      2604 |       2604 |                               IPython.lib
import time:      1819 |       4422 |                             IPython.lib.display
import time:       735 |      10619 |                           IPython.display
import time:       264 |        264 |                           IPython.utils.data
import time:       515 |      11397 |                         IPython.core.page
import time:       837 |        837 |                         IPython.lib.pretty
